N	S	F
795	1530.000000	2020.494989
804	-327.000000	2034.456438
764	-1835.000000	2042.611808
865	-2795.000000	2046.240699
794	-3754.000000	2053.979065
798	-4542.000000	2067.971470
868	-4675.000000	2087.549999
856	-4312.000000	2102.403387
915	-3874.000000	2105.765419
784	-3044.000000	2097.456555
866	-2421.000000	2086.774784
821	-2381.000000	2085.131890
828	-2599.000000	2094.804764
902	-2519.000000	2108.208481
828	-2088.000000	2119.369246
894	-995.000000	2116.630105
864	730.000000	2101.233447
803	2152.000000	2083.059769
800	2651.000000	2071.041525
786	1920.000000	2074.970843
857	430.000000	2089.211813
879	-1739.000000	2102.438822
830	-3327.000000	2106.477866
885	-3774.000000	2099.225571
827	-2782.000000	2083.312747
863	-1434.000000	2070.746242
740	427.000000	2063.862156
854	1757.000000	2065.351060
800	2047.000000	2070.433529
809	929.000000	2068.811011
846	-523.000000	2056.227857
784	-2335.000000	2046.093595
796	-3873.000000	2044.827377
815	-4524.000000	2051.757296
839	-3495.000000	2053.945715
864	-1536.000000	2038.673098
728	922.000000	2017.423109
710	3582.000000	2001.149170
783	5874.000000	1995.558568
764	6608.000000	1997.947947
731	6390.000000	1998.225213
743	5811.000000	1997.601312
757	5032.000000	2004.949875
774	4070.000000	2016.295117
784	3987.000000	2019.454629
810	4154.000000	2015.318833
704	4103.000000	2012.132948
774	3638.000000	2023.959486
778	3405.000000	2049.101022
882	2679.000000	2073.500663
823	1960.000000	2088.256689
796	1488.000000	2096.223748
865	1158.000000	2100.252842
866	271.000000	2112.995741
841	-574.000000	2131.853184
913	-1801.000000	2150.039302
885	-3293.000000	2170.817588
933	-4131.000000	2186.768163
994	-4175.000000	2196.528853
890	-3974.000000	2206.988446
919	-2953.000000	2211.353206
1018	-1320.000000	2214.407822
920	-540.000000	2224.223010
898	-353.000000	2232.324125
1005	-259.000000	2240.645666
975	-587.000000	2248.670496
999	-1423.000000	2255.274928
924	-1559.000000	2264.317336
1013	-1059.000000	2272.343064
1049	-319.000000	2275.594208
961	301.000000	2275.983524
964	1036.000000	2273.412413
991	1311.000000	2277.953687
1008	896.000000	2291.427066
1032	-169.000000	2304.675465
1003	-1229.000000	2310.967546
1052	-2406.000000	2306.727552
1029	-3423.000000	2303.744126
994	-4020.000000	2310.316861
1047	-3771.000000	2320.624269
1077	-2889.000000	2328.509609
1045	-1165.000000	2324.675246
1043	1066.000000	2316.085059
949	3606.000000	2314.897406
1040	5827.000000	2322.409740
1049	7083.000000	2330.607432
1023	6822.000000	2331.402153
1013	5219.000000	2327.043403
995	2333.000000	2331.629688
1070	-1415.000000	2350.148719
1101	-4666.000000	2372.860721
1151	-6702.000000	2385.476053
1103	-7282.000000	2384.489044
1063	-6277.000000	2377.385749
1111	-3543.000000	2371.888488
1103	-433.000000	2376.952881
1033	2444.000000	2385.207329
1109	4565.000000	2389.648719
1068	5799.000000	2388.332263
1111	5491.000000	2384.880081
1034	4383.000000	2389.832839
1071	2902.000000	2405.107898
1177	1596.000000	2421.607730
1150	357.000000	2433.576997
1121	-359.000000	2434.402391
1126	-914.000000	2432.426772
1112	-1613.000000	2436.252655
1194	-2766.000000	2444.895090
1151	-3945.000000	2457.788640
1164	-4860.000000	2469.338373
1209	-5155.000000	2477.668057
1190	-4442.000000	2483.450020
1215	-2822.000000	2480.410047
1163	-984.000000	2471.794894
1127	324.000000	2462.629083
1167	1157.000000	2459.846133
1164	952.000000	2469.086471
1158	96.000000	2481.726012
1218	-550.000000	2490.908670
1189	-349.000000	2487.951969
1228	-161.000000	2477.379059
1074	482.000000	2467.909642
1192	1172.000000	2464.990467
1187	911.000000	2471.072439
1132	-665.000000	2480.995969
1216	-2555.000000	2481.193060
1196	-4908.000000	2474.989697
1174	-7303.000000	2469.013771
1167	-8824.000000	2464.432998
1202	-9131.000000	2464.374363
1188	-8546.000000	2458.358802
1182	-7175.000000	2441.643913
1117	-5636.000000	2417.779973
1073	-4199.000000	2393.862360
1111	-3258.000000	2374.747144
1070	-2802.000000	2360.910418
1061	-2271.000000	2348.794372
1041	-616.000000	2331.585298
1059	1772.000000	2312.129322
953	5398.000000	2287.954108
997	10191.000000	2261.243242
917	15036.000000	2239.778114
867	18518.000000	2229.455987
900	21081.000000	2229.867933
934	21779.000000	2238.061438
919	20089.000000	2248.762549
900	16932.000000	2262.762471
977	13314.000000	2280.731462
1041	8742.000000	2307.782052
981	4316.000000	2343.441486
1106	907.000000	2375.165468
1155	-1733.000000	2404.001872
1099	-3820.000000	2430.564543
1182	-4760.000000	2453.805208
1186	-5314.000000	2482.108378
1202	-5521.000000	2511.578587
1299	-5619.000000	2536.626697
1228	-5605.000000	2559.308696
1284	-5765.000000	2575.801429
1313	-5379.000000	2589.567725
1325	-5194.000000	2607.668307
1292	-4474.000000	2626.312624
1378	-3304.000000	2644.469323
1353	-1652.000000	2656.152481
1392	-347.000000	2662.877203
1306	1340.000000	2667.602669
1398	2363.000000	2679.975560
1344	2434.000000	2697.372796
1443	1568.000000	2714.031687
1433	161.000000	2723.672704
1409	-2340.000000	2728.345653
1438	-5077.000000	2737.047862
1438	-6872.000000	2752.194034
1571	-7936.000000	2768.904477
1458	-7916.000000	2780.021583
1502	-6321.000000	2780.725984
1519	-3666.000000	2773.773242
1443	-1885.000000	2770.571963
1429	-497.000000	2768.471961
1516	-215.000000	2768.352759
